feat	param	r2
MinFeret_std	Ga	0.006228061194683443
MinFeret_std	Ga/Da	0.00600895895202036
MinFeret_std	Ua/Ga	0.005563285567366294
MinFeret_std	Gi/Di	0.00362684767498056
MinFeret_std	Di	0.0028772838327109085
MinFeret_std	Da/Di	0.0023921510780137156
MinFeret_std	Ua/Ui	0.002376870125374353
MinFeret_std	Ga/Gi	0.0018046632137759255
MinFeret_std	Gi	0.0014078773965393587
MinFeret_std	Gi/Da	0.0010771916971611395
MinFeret_std	Ua/Gi	0.0010649689750199531
MinFeret_std	Gi/Ba	0.0008642285064480726
MinFeret_std	Ua/Di	0.0008010082493079551
MinFeret_std	Da/Ba	0.0006728071872140751
MinFeret_std	Ui/Di	0.0005111984700795213
MinFeret_std	Ui/Ba	0.0003496997156519077
MinFeret_std	Ua/Da	0.00030544552297306904
MinFeret_std	Ua	0.0002721689095671609
MinFeret_std	Ui/Da	0.00026516502792028884
MinFeret_std	Ui/Gi	0.0002452652694819868
MinFeret_std	Ga/Ba	0.00023223690881524206
MinFeret_std	Ui	0.00022504238877518734
MinFeret_std	Ba	0.00019510786428611482
MinFeret_std	Di/Ba	0.00012524501121913278
MinFeret_std	Da	9.285795979330214e-05
MinFeret_std	Ga/Di	2.225769767383312e-05
MinFeret_std	Ua/Ba	8.353117954218447e-06
