feat	param	r2
MinFeret_inverted_std	Ga	0.007667439380484753
MinFeret_inverted_std	Ga/Da	0.007295921695628649
MinFeret_inverted_std	Ua/Ga	0.00359214242784478
MinFeret_inverted_std	Gi/Di	0.0018959261572877306
MinFeret_inverted_std	Ga/Gi	0.001802145540462985
MinFeret_inverted_std	Ua/Ui	0.0013387895719912946
MinFeret_inverted_std	Gi	0.0012954215663044666
MinFeret_inverted_std	Di	0.0012886728009362525
MinFeret_inverted_std	Ua/Da	0.0011167436502493855
MinFeret_inverted_std	Ua	0.0010935909757376905
MinFeret_inverted_std	Gi/Da	0.0010832442325190428
MinFeret_inverted_std	Da/Di	0.0009954765206655614
MinFeret_inverted_std	Ua/Gi	0.0009884423070120052
MinFeret_inverted_std	Gi/Ba	0.0008961108444887067
MinFeret_inverted_std	Ga/Di	0.0008397049911378351
MinFeret_inverted_std	Da/Ba	0.00047123505331503335
MinFeret_inverted_std	Ga/Ba	0.00040880004958454563
MinFeret_inverted_std	Ui/Da	0.0002298354353567067
MinFeret_inverted_std	Ui	0.00022511797397450906
MinFeret_inverted_std	Ui/Ba	0.00021869581072719857
MinFeret_inverted_std	Ui/Di	0.0002091688582259721
MinFeret_inverted_std	Ui/Gi	0.00016444063411291676
MinFeret_inverted_std	Ba	0.00016093489460744514
MinFeret_inverted_std	Di/Ba	2.577463707564842e-05
MinFeret_inverted_std	Da	2.0065527320811682e-05
MinFeret_inverted_std	Ua/Di	1.7346733478640353e-05
MinFeret_inverted_std	Ua/Ba	1.1139451089436925e-05
